scheduleId,line,trainNumber,startStation,startTime,endStation,endTime,status,remarks
HB87-490-2,harbour,UNU13,NEU,15:45:00,URAN,16:28:00,active,
HB87-490-3,harbour,UNU16,URAN,17:40:00,NEU,18:23:00,active,
HB87-490-4,harbour,UNU17,NEU,19:15:00,URAN,19:58:00,active,
HB87-490-5,harbour,UNU20,URAN,21:00:00,NEU,21:43:00,active,
HB87-490-6,harbour,P/PL185,NEU,22:12:00,PNVL,22:34:00,active,
HB87-491-1,harbour,P/PL128,PNVL,16:38:00,VSH,17:08:00,active,
HB87-491-2,harbour,TV82,VSH,17:32:00,TNA,18:01:00,active,
HB87-491-3,harbour,TNU53,TNA,18:17:00,NEU,18:47:00,active,
HB87-491-4,harbour,TNU58,NEU,19:29:00,TNA,19:59:00,active,
HB87-491-5,harbour,TPL57,TNA,20:15:00,PNVL,21:07:00,active,
HB87-491-6,harbour,ERTPL65,PNVL,22:54:00,JNJ,23:18:00,cancelled,
HB87-492-1,harbour,ER TPL12,JNJ,5:56:00,PNVL,6:19:00,active,
HB87-492-2,harbour,TPL12,PNVL,6:37:00,TNA,7:29:00,active,
HB87-492-3,harbour,TNU9,TNA,7:43:00,NEU,8:13:00,active,
HB87-492-4,harbour,P/PL43,NEU,8:38:00,PNVL,9:00:00,active,
HB87-493-1,harbour,P/PL40,PNVL,8:26:00,NEU,8:48:00,active,
HB87-493-2,harbour,TNU16,NEU,9:29:00,TNA,9:59:00,active,
HB87-493-3,harbour,TNU23,TNA,10:12:00,NEU,10:42:00,active,
HB87-493-4,harbour,TNU24,NEU,10:50:00,TNA,11:20:00,active,
HB87-493-5,harbour,TNU29,TNA,11:42:00,NEU,12:12:00,active,
HB87-493-6,harbour,TNU32,NEU,12:59:00,TNA,13:29:00,active,
HB87-493-7,harbour,TNU37,TNA,13:37:00,NEU,14:07:00,active,
HB87-493-8,harbour,P/PL107,NEU,14:45:00,PNVL,15:09:00,active,
HB87-494-1,harbour,P/PL50,PNVL,9:28:00,NEU,9:50:00,active,
HB87-494-2,harbour,TNU22,NEU,10:25:00,TNA,10:55:00,active,
HB87-494-3,harbour,TPL21,TNA,11:14:00,PNVL,12:07:00,active,
HB87-494-4,harbour,TPL38,PNVL,14:01:00,TNA,14:54:00,active,
HB87-494-5,harbour,TPL35,TNA,15:20:00,PNVL,16:12:00,active,
HB87-495-1,harbour,PL112,PNVL,15:20:00,CSMT,16:39:00,active,
HB87-495-2,harbour,PL163,CSMT,18:41:00,PNVL,20:02:00,active,
HB87-495-3,harbour,ER SCS,PNVL,20:12:00,JNJ,20:36:00,active,
HB87-495-4,harbour,P/TPL61,JNJ,21:36:00,PNVL,22:02:00,active,
HB87-496-1,harbour,TPL56,PNVL,17:57:00,TNA,18:49:00,active,
HB87-496-2,harbour,TPL51,TNA,19:14:00,PNVL,20:06:00,active,
HB87-496-3,harbour,P/TPL70,PNVL,21:20:00,NEU,21:43:00,active,
HB87-496-4,harbour,TNU68,NEU,22:14:00,TNA,22:44:00,active,
HB87-496-5,harbour,TPL69,TNA,22:55:00,PNVL,23:47:00,active,
HB87-497-1,harbour,TPL10,PNVL,6:13:00,TNA,7:05:00,active,
HB87-497-2,harbour,TNU7,TNA,7:23:00,NEU,7:53:00,active,
HB87-497-3,harbour,TNU10,NEU,8:21:00,TNA,8:51:00,active,
HB87-497-4,harbour,TNU17,TNA,9:04:00,NEU,9:34:00,active,
HB87-497-5,harbour,P/PL59,NEU,10:16:00,PNVL,10:39:00,active,
HB87-498-1,harbour,WAITING,PNVL,,PNVL,,active,
HB87-499-1,harbour,PL56,PNVL,10:05:00,CSMT,11:24:00,active,
HB87-499-2,harbour,B39,CSMT,12:47:00,BA,13:16:00,active,
HB87-499-3,harbour,B42,BA,13:24:00,CSMT,13:56:00,active,
HB87-499-4,harbour,PL125,CSMT,15:16:00,PNVL,16:36:00,active,
HB87-500-1,harbour,TPL48,PNVL,16:14:00,TNA,17:09:00,cancelled,
HB87-500-2,harbour,TPL43,TNA,17:23:00,PNVL,18:15:00,active,
HB87-500-3,harbour,P/PLGN17,PNVL,19:35:00,VSH,20:05:00,active,
HB87-500-4,harbour,TV104,VSH,20:50:00,TNA,21:19:00,active,
HB87-500-5,harbour,TNU67,TNA,21:30:00,NEU,22:02:00,active,
HB87-500-6,harbour,P/PL189,NEU,22:40:00,PNVL,23:02:00,active,
HB87-501-1,harbour,P/TPL50,PNVL,16:26:00,TNA,17:20:00,active,
HB87-501-2,harbour,TV83,TNA,17:46:00,VSH,18:15:00,active,
