signal_number,station_code,station_name,section,line,direction,location_text,km_text,km_from_csmt,latitude,longitude,signal_type,signal_function,placement,on_curve,curve_remarks,is_rhs,is_ext_rhs,is_lhs,is_ext_lhs,has_legend_board,has_calling_on,has_shunt_signal,ri_left_arms,ri_right_arms,book_description,route_indicator_notes,technical_remarks,visibility_distance_m,sighting_remarks,is_active
L-084,,,CSMT-KYN,UP LOC,UP,,28/221,,,,Automatic,,Right,,,1,0,0,0,0,0,0,0,0,,,,,,1
L-082,,,CSMT-KYN,UP LOC,UP,,27/235,,,,Automatic,,Extreme Right,Right,,0,1,0,0,0,0,0,0,0,,,,,,1
L-080,,,CSMT-KYN,UP LOC,UP,,27/217,,,,Automatic,,Left,,,0,0,1,0,1,0,0,0,0,,,,,,1
BND S-23,BND,Bhandup,CSMT-KYN,UP LOC,UP,,27/201,,,,Semi-Automatic,,Extreme Right,,,0,1,0,0,0,0,0,0,0,,,,,,1
L-078,,,CSMT-KYN,UP LOC,UP,PF-2 STR,26/213,,,,Automatic,,Left,,,0,0,1,0,0,0,0,0,0,,,,,,1
L-076,,,CSMT-KYN,UP LOC,UP,,25/237,,,,Automatic,,Extreme Right,,,0,1,0,0,0,0,0,0,0,,,,,,1
L-074,,,CSMT-KYN,UP LOC,UP,,25/217,,,,Automatic,,Extreme Right,,,0,1,0,0,0,0,0,0,0,,,,,,1
L-072,,,CSMT-KYN,UP LOC,UP,,25/201,,,,Automatic,,Extreme Right,,,0,1,0,0,0,0,0,0,0,,,,,,1
L-070,,,CSMT-KYN,UP LOC,UP,,23/233,,,,Automatic,,Right,Left,,1,0,0,0,0,0,0,0,0,,,,,,1
L-066,,,CSMT-KYN,UP LOC,UP,,23/233,,,,Automatic,,Extreme Right,,,0,1,0,0,0,0,0,0,0,,,,,,1
VK S-23,VK,Vikhroli,CSMT-KYN,UP LOC,UP,,23/205,,,,Semi-Automatic,,Left,,,0,0,1,0,0,0,0,0,0,,,,,,1
VK S-21,VK,Vikhroli,CSMT-KYN,UP LOC,UP,PF-2 STR,,,,,Semi-Automatic,,Left,Right,,0,0,1,0,0,0,0,0,0,,,,,,1
L-064,,,CSMT-KYN,UP LOC,UP,,22/211,,,,Automatic,,Extreme Right,Right,,0,1,0,0,0,0,0,0,0,,,,,,1
L-062,,,CSMT-KYN,UP LOC,UP,,21/229,,,,Automatic,,Extreme Right,Right,,0,1,0,0,0,0,0,0,0,,,,,,1
L-060,,,CSMT-KYN,UP LOC,UP,,21/213,,,,Automatic,,Extreme Right,Right,,0,1,0,0,0,0,0,0,0,,,,,,1
L-058,,,CSMT-KYN,UP LOC,UP,,20/235,,,,Automatic,,Extreme Right,,,0,1,0,0,0,0,0,0,0,,,,,,1
L-056,,,CSMT-KYN,UP LOC,UP,,20/217,,,,Automatic,,Extreme Right,,,0,1,0,0,0,0,0,0,0,,,,,,1
L-056A,,,CSMT-KYN,UP LOC,UP,,19/239,,,,Automatic,,Extreme Right,Right,,0,1,0,0,0,0,0,0,0,,,,,,1
VVH S-57,VVH,Vidyavihar,CSMT-KYN,UP LOC,UP,,19/219,,,,Semi-Automatic,,Left,Right,,0,0,1,0,0,0,0,0,0,,,,,,1
VVH S-54,VVH,Vidyavihar,CSMT-KYN,UP LOC,UP,PF-2 STR,,,,,Semi-Automatic,,Left,,,0,0,1,0,0,0,0,0,0,,,,,,1
VVH S-55,VVH,Vidyavihar,CSMT-KYN,UP LOC,UP,GC PF-1 UP STR,,,,,Semi-Automatic,,Right,,,1,0,0,0,0,0,0,0,0,,,,,,1
VVH S-41,VVH,Vidyavihar,CSMT-KYN,UP LOC,UP,,18/235,,,,Semi-Automatic,,Left,,,0,0,1,0,0,0,0,0,0,,,,,,1
VVH S-33,VVH,Vidyavihar,CSMT-KYN,UP LOC,UP,,18/211,,,,Semi-Automatic,,Extreme Right,Left,,0,1,0,0,0,0,0,0,0,TH S9,Book shows flag marker referencing TH S9,,,,1
VVH S-14,VVH,Vidyavihar,CSMT-KYN,UP LOC,UP,SH FOR NCS,,,,,Semi-Automatic,,Right,,,1,0,0,0,0,0,0,0,0,,,,,,1
L-054,,,CSMT-KYN,UP LOC,UP,,17/207,,,,Automatic,,Extreme Right,,,0,1,0,0,0,0,0,0,0,,,,,,1
