signal_number,station_code,station_name,section,line,direction,location_text,km_text,km_from_csmt,latitude,longitude,signal_type,signal_function,placement,on_curve,curve_remarks,is_rhs,is_ext_rhs,is_lhs,is_ext_lhs,has_legend_board,has_calling_on,has_shunt_signal,ri_left_arms,ri_right_arms,book_description,route_indicator_notes,technical_remarks,visibility_distance_m,sighting_remarks,is_active
DR S-37,DR,Dadar,CSMT-KYN,UP TH,UP,9/417,9/417,9.516,19.02075,72.84566,Semi-Automatic,,Right,,,1,0,0,0,0,1,0,0,1,RI:R1= PF-11,Book shows one right arm on top of vertical stem,,200,,1
DR S-42,DR,Dadar,CSMT-KYN,UP TH,UP,8/433,8/433,9.126,19.01686,72.84296,Semi-Automatic,,Left,,,0,0,1,0,0,0,0,0,0,,,,200,,1
DR S-45,DR,Dadar,CSMT-KYN,UP TH,UP,8/423,8/423,8.736,19.01474,72.84156,Semi-Automatic,,Left,,,0,0,1,0,0,0,0,0,0,,,,200,,1
DR S-44,DR,Dadar,CSMT-KYN,UP TH,UP,PF-11 STR,,,19.01492,72.84156,Semi-Automatic,,Right,,,1,0,0,0,0,1,0,0,0,,,,200,,1
K-012,,,CSMT-KYN,UP TH,UP,8/413,8/413,8.346,19.0131,72.84034,Automatic,,Right,,,1,0,0,0,0,0,0,0,0,,,,200,,1
PR S-29,PR,Parel,CSMT-KYN,UP TH,UP,8/401,8/401,7.964,19.011,72.83896,Semi-Automatic,,Right,,,1,0,0,0,1,0,0,0,0,,,,200,,1
PR S-11,PR,Parel,CSMT-KYN,UP TH,UP,7/429,7/429,7.564,19.00793,72.83697,Semi-Automatic,,Left,,,0,0,1,0,0,0,1,0,0,,,,250,,1
PR S-14,PR,Parel,CSMT-KYN,UP TH,UP,6/439,6/439,7.174,19.00237,72.83417,Semi-Automatic,,Left,Left,,0,0,1,0,0,0,0,0,0,,,,200,,1
PR S-13,PR,Parel,CSMT-KYN,UP TH,UP,6/411,6/411,6.573,18.99617,72.83305,Semi-Automatic,,Extreme Right,Left,,0,1,0,0,0,0,1,0,0,,,,200,,1
BY S-49,BY,Byculla,CSMT-KYN,UP TH,UP,5/429,5/429,5.912,18.98994,72.833,Semi-Automatic,,Right,,,1,0,0,0,0,1,0,1,0,RI:L1= BY YD,Book shows one left arm on top of vertical stem,,250,,1
BY S-41,BY,Byculla,CSMT-KYN,UP TH,UP,5/401,5/401,5.522,18.98543,72.83298,Semi-Automatic,,Left,,,0,0,1,0,0,0,0,0,0,,,,200,,1
BY S-34,BY,Byculla,CSMT-KYN,UP TH,UP,4/449,4/449,5.18,18.98231,72.83295,Semi-Automatic,,Left,,,0,0,1,0,0,1,0,0,1,RI:R1= UP L/L,Book shows one right arm on top of vertical stem,,200,,1
BY S-28,BY,Byculla,CSMT-KYN,UP TH,UP,4/423,4/423,4.67,18.97903,72.83293,Semi-Automatic,,Left,,,0,0,1,0,1,0,1,0,0,,,,200,,1
BY S-15,BY,Byculla,CSMT-KYN,UP TH,UP,PF-4 STR,3/451,4.189,18.97479,72.83292,Semi-Automatic,,Left,,,0,0,1,0,0,1,1,1,0,RI:L1= MZN YD,Book shows one left arm on top of vertical stem,,300,,1
K-008,,,CSMT-KYN,UP TH,UP,3/405,3/405,3.79,18.96836,72.83455,Automatic,,Right,Left,,1,0,0,0,1,0,0,0,0,,,,200,,1
MZN S-12,,,CSMT-KYN,UP TH,UP,2/435,2/435,3.319,18.96596,72.83695,Automatic,,Right,Left,,1,0,0,0,1,0,0,0,0,,,,200,,1
MZN S-15,,,CSMT-KYN,UP TH,UP,2/413,2/413,2.865,18.96301,72.83931,Semi-Automatic,,Left,Right,,0,0,1,0,0,0,0,0,0,,,,200,,1
K-004,,,CSMT-KYN,UP TH,UP,1/475,1/475,2.446,18.95827,72.83901,Automatic,,Left,Right,,0,0,1,0,0,0,0,0,0,,,,200,,1
CSMT S-61,CSMT,CSMT,CSMT-KYN,UP TH,UP,1/419,1/419,1.965,18.95352,72.8384,Semi-Automatic,,Left,Left,,0,0,1,0,0,1,0,3,0,RI:L1= PF-10/11/12; L2= S-63; L3= S-55,Book shows three left arms on top of vertical stem,,200,,1
CSMT S-81,CSMT,CSMT,CSMT-KYN,UP TH,UP,697,00/05,1.167,,,Semi-Automatic,,Left,Right,,0,0,1,0,0,0,0,3,0,RI:L1= PF-10; L2= PF-11; L3= PF-12,Book shows three left arms on top of vertical stem,,200,,1
CSMT S-48,CSMT,CSMT,CSMT-KYN,UP TH,UP,675,WB 26+20,0.583,,,Semi-Automatic,,Left,Right,,0,0,1,0,0,0,0,3,2,RI:L1= PF-7; L2= PF-8; L3= PF-9; R1= S-27; R2= S-26,Book shows three left and two right arms on top of vertical stem,,200,,1
CSMT S-28,CSMT,CSMT,CSMT-KYN,UP TH,UP,,,0.341,,,Semi-Automatic,,Left,,,0,0,1,0,0,0,0,0,0,,,,200,,1
CSMT S-27,CSMT,CSMT,CSMT-KYN,UP TH,UP,535,,,,,Semi-Automatic,,Left,Left,,0,0,1,0,0,0,0,1,0,RI:L1= PF-6,Book shows one left arm on top of vertical stem,,200,,1
CSMT S-26,CSMT,CSMT,CSMT-KYN,UP TH,UP,,,,,,Semi-Automatic,,Left,Left,,0,0,1,0,0,0,0,0,1,RI:R1= PF-3,Book shows one right arm on top of vertical stem,,200,,1
