train_no,train_name,direction,from_station,to_station,run_days,,,,
12127,CSMT-PUNE INTERCITY EXP,DN,CSMT,PUNE,DAILY,,,,
12128,CSMT-PUNE INTERCITY EXP,UP,PUNE,CSMT,DAILY,,,,
12131,DR-SNSI EXP,DN,DR,IGP,1,3,6,,
12132,DR-SNSI EXP,UP,IGP,DR,1,3,5,,
12133,CSMT-MAJN EXP,DN,CSMT,RN,DAILY,,,,
12134,CSMT-MAJN EXP,UP,RN,CSMT,DAILY,,,,
12137,CSMT-FZR PUNJAB MAIL,DN,CSMT,IGP,DAILY,,,,
12138,CSMT-FZR PUNJAB MAIL,UP,IGP,CSMT,DAILY,,,,
12139,CSMT-NGP SEVAGRAM EXP,DN,CSMT,IGP,DAILY,,,,
12140,CSMT-NGP SEVAGRAM EXP,UP,IGP,CSMT,DAILY,,,,
12141,LTT-PPTA PATLIPUTRA EXP,DN,LTT,IGP,DAILY,,,,
12142,LTT-PPTA PATLIPUTRA EXP,DN,BSR,LTT,DAILY,,,,
12143,LTT-SLN EXP,DN,LTT,IGP,7,,,,
12144,LTT-SLN EXP,UP,IGP,LTT,3,,,,
12145,LTT-PURI EXP,DN,LTT,IGP,7,,,,
12146,LTT-PURI EXP,UP,IGP,LTT,4,,,,
12151,LTT-SHM SAMRASHTA EXP,DN,LTT,IGP,3,4,,,
12152,LTT-SHM SAMRASHTA EXP,UP,IGP,LTT,1,7,,,
12153,LTT-RKMP EXP,DN,LTT,IGP,4,,,,
12154,LTT-RKMP EXP,UP,IGP,LTT,6,,,,
12161,LTT-AGC LASHKAR EXP,DN,LTT,IGP,5,,,,
12162,LTT-AGC LASHKAR EXP,UP,IGP,LTT,7,,,,
12163,LTT-MAS EXP,DN,LTT,PUNE,DAILY,,,,
12164,LTT-MAS EXP,UP,PUNE,LTT,DAILY,,,,
12165,LTT-GKR EXP,DN,LTT,IGP,1,4,5,,
12166,LTT-GKR EXP,UP,IGP,LTT,3,6,7,,
12167,LTT-BNPRS EXP,DN,LTT,IGP,DAILY,,,,
12168,LTT-BNPRS EXP,UP,IGP,LTT,DAILY,,,,
12171,LTT-Haridwar Superfast express,DN,LTT,IGP,1,4,,,
12172,LTT-Haridwar Superfast express,UP,IGP,LTT,3,6,,,
12173,LTT-MBDP UDYOG NAGRI EXP,DN,LTT,IGP,2,7,,,
12174,LTT-MBDP UDYOG NAGRI EXP,UP,IGP,LTT,3,5,,,
12187,CSMT-JBP GARIB RATH,UP,IGP,CSMT,2,4,7,,
12188,CSMT-JBP GARIB RATH,DN,CSMT,IGP,2,4,7,,
12201,LTT-TVCN GARIB RATH,DN,LTT,RN,1,5,,,
12202,LTT-TVCN GARIB RATH,UP,RN,LTT,5,1,,,
12217,CDG-TVCN-CDG KERLA S KRANTI EXP,UP,RN,BSR,2.7,,,,
12218,CDG-TVCN-CDG KERLA S KRANTI EXP,DN,BSR,RN,4,6,,,
12219,LTT-SC DURONTO EXP,DN,LTT,PUNE,3,6,,,
12220,LTT-SC DURONTO EXP,UP,PUNE,LTT,3,6,,,
12223,LTT-ERS DURONTO EXP,DN,LTT,RN,2,6,,,
12224,LTT-ERS DURONTO EXP,UP,RN,LTT,1,4,,,
12261,CSMT-HWH CSMT DURONTO EXP,DN,CSMT,IGP,2,3,4,7,
12262,CSMT-HWH CSMT DURONTO EXP,UP,IGP,CSMT,2,3,4,6,
12263,NZM-PUNE-NZM DURNTO EXP,UP,PUNE,BSR,2,5,,,
12264,NZM-PUNE-NZM DURNTO EXP,UP,,,2,5,,,
12283,NZM-ERS-NZM DURONTO EXP,UP,RN,BSR,3,,,,
12284,NZM-ERS-NZM DURONTO EXP,UP,BSR,RN,7,,,,
12289,CSMT-NGP DURONTO EXP,DN,CSMT,IGP,DAILY,,,,
12290,CSMT-NGP DURONTO EXP,UP,IGP,CSMT,DAILY,,,,
12293,LTT-PRY-LTT DURONTO EXP,DN,LTT,IGP,1,5,,,
12294,LTT-PRY-LTT DURONTO EXP,UP,IGP,LTT,3,7,,,
12297,ADI-PUNE-ADI DURONTO EXP,UP,,,1,3,6,,
12298,ADI-PUNE-ADI DURONTO EXP,UP,PUNE,BSR,1,4,6,,
12321,CSMT-HWH KOLKATA MAIL,UP,IGP,CSMT,DAILY,,,,
12322,CSMT-HWH KOLKATA MAIL,DN,CSMT,IGP,DAILY,,,,
12335,LTT-BGP EXP,UP,IGP,LTT,3,6,,,
12336,LTT-BGP EXP,DN,LTT,IGP,2,7,,,
12361,CSMT-ASN EXP,UP,IGP,CSMT,2,,,,
12362,CSMT-ASN EXP,DN,CSMT,IGP,3,,,,
12431,NZM-TVC-NZM RAJDHANI EXP,UP,RN,BSR,3,5,6,,
12432,NZM-TVC-NZM RAJDHANI EXP,DN,BSR,RN,2,3,7,,
12449,CDG-MAO-CDG GOA SMPRK KRANT,UP,RN,BSR,2,3,,,
12450,CDG-MAO-CDG GOA SMPRK KRANT,DN,BSR,RN,1,6,,,
12483,ASR-TVCN-ASR EXP,UP,RN,BSR,4,,,,
12484,ASR-TVCN-ASR EXP,DN,BSR,RN,1,,,,
12493,NZM-MRJ-NZM DARSHAN EXPRESS,UP,PUNE,BSR,7,,,,
12494,NZM-MRJ-NZM DARSHAN EXPRESS,DN,,,6,,,,
12533,CSMT-GTNA CSMT PUSHPAK EXP,UP,IGP,CSMT,DAILY,,,,
12534,CSMT-GTNA CSMT PUSHPAK EXP,DN,CSMT,IGP,DAILY,,,,
12545,LTT-RXL KARMBHUMI EXP,UP,IGP,LTT,6,,,,
12546,LTT-RXL KARMBHUMI EXP,DN,LTT,IGP,6,,,,
12597,CSMT-GKP ANTODAYA EXP,UP,IGP,CSMT,3,,,,
12598,CSMT-GKP ANTODAYA EXP,DN,CSMT,IGP,3,,,,
12617,NZM-ERS-NZM MANGLA LKSDP EXP,UP,RN,IGP,DAILY,,,,
12618,NZM-ERS-NZM MANGLA LKSDP EXP,DN,IGP,RN,DAILY,,,,
12619,LTT-MAQ MATSYAGANDHA EXP,DN,LTT,RN,DAILY,,,,
12620,LTT-MAQ MATSYAGANDHA EXP,UP,RN,LTT,DAILY,,,,
12701,CSMT-HYB HUSSAINSAGAR EXP,DN,CSMT,PUNE,DAILY,,,,
12702,CSMT-HYB HUSSAINSAGAR EXP,UP,PUNE,CSMT,DAILY,,,,
12741,PNBE-VSG-PNBE EXP,UP,RN,IGP,4,,,,
12742,PNBE-VSG-PNBE EXP,DN,BSR,KYN,7,,,,
12755,BVC-COA-BVC EXP,UP,,,5,,,,
12756,BVC-COA-BVC EXP,DN,,,6,,,,
12809,CSMT-HWH HOWRAH MAIL,DN,CSMT,IGP,DAILY,,,,
12810,CSMT-HWH HOWRAH MAIL,UP,IGP,CSMT,DAILY,,,,
12811,LTT-Hatia SF Express,DN,LTT,IGP,1,7,,,
12812,LTT-Hatia SF Express,UP,IGP,LTT,6,7,,,
12859,LTT-HTE EXP,DN,CSMT,IGP,DAILY,,,,
12860,LTT-HTE EXP,UP,IGP,CSMT,DAILY,,,,
12869,CSMT-HWH GITANJALI EXP,DN,CSMT,IGP,7,,,,
12870,CSMT-HWH GITANJALI EXP,UP,IGP,CSMT,6,,,,
12879,LTT-BBS EXP,DN,LTT,IGP,3,6,,,
12880,LTT-BBS EXP,UP,IGP,LTT,2,5,,,
12939,JP-PUNE-JP EXP,UP,PUNE,BSR,3,7,,,
12940,JP-PUNE-JP EXP,DN,,,7,3,,,
12977,All-ERS-All MARU SAGAR EXP,UP,RN,BSR,1,,,,
12978,All-ERS-All MARU SAGAR EXP,DN,BSR,RN,6,,,,
13201,LTT-RGD EXP,UP,IGP,LTT,DAILY,,,,
13202,LTT-RGD EXP,DN,LTT,IGP,DAILY,,,,
14313,LTT-BE EXP,DN,LTT,IGP,1,,,,
14314,LTT-BE EXP,UP,IGP,LTT,7,,,,
14805,BME-YPR-BME EXP,UP,PUNE,BSR,2,,,,
14806,BME-YPR-BME EXP,DN,,,5,,,,
15017,LTT-GKR KASHI EXP,DN,LTT,IGP,DAILY,,,,
15018,LTT-GKR KASHI EXP,UP,IGP,LTT,DAILY,,,,
15065,PNVL-GKP-PNVL EXP,UP,IGP,PNVL,1,2,3,5,6
15066,PNVL-GKP-PNVL EXP,DN,PNVL,IGP,1,2,3,5,6
15181,LTT-MAU EXPRESS,UP,IGP,LTT,1,,,,
15182,LTT-MAU EXPRESS,DN,LTT,IGP,1,,,,
15267,LTT-RXL ANTYODAY EXP,UP,IGP,LTT,1,,,,
15268,LTT-RXL ANTYODAY EXP,DN,LTT,IGP,1,,,,
15647,LTT-GHY EXPRES EXP,DN,LTT,IGP,5,,,,
15648,LTT-GHY EXPRES EXP,UP,IGP,LTT,4,,,,
15659,LTT-AGT-LTT AC SF EXP,DN,LTT,IGP,SUN,,,,
15660,LTT-AGT-LTT AC SF EXP,UP,IGP,LTT,SAT,,,,
15945,LTT-DBRG EXP,DN,LTT,IGP,3,6,,,
15946,LTT-DBRG EXP,UP,IGP,LTT,2,5,,,
16209,All-MYS-All EXP,DN,BSR,PUNE,5.7,,,,
16210,All-MYS-All EXP,UP,PUNE,BSR,3,5,,,
16311,SGNR-TVCN express,UP,BSR,RN,3,,,,
16312,SGNR-TVCN express,UP,RN,BSR,7,,,,
16331,LTT-TVC EXP,DN,LTT,PUNE,7,,,,
16332,LTT-TVC EXP,UP,PUNE,LTT,7,,,,
16333,VRL-TVC-VRL EXP,DN,BSR,RN,4,,,,
16334,VRL-TVC-VRL EXP,UP,RN,BSR,2,,,,
16335,GIMB-NCJ-GIMB EXP,DN,BSR,RN,5,,,,
16336,GIMB-NCJ-GIMB EXP,UP,RN,BSR,3,,,,
16337,OKHA-ERS-OKHA EXP,DN,BSR,RN,1,6,,,
16338,OKHA-ERS-OKHA EXP,UP,RN,BSR,4,6,,,
16339,LTT-NCJ EXP,DN,LTT,PUNE,2,3,4,6,
16340,LTT-NCJ EXP,UP,PUNE,LTT,2,3,4,6,
16345,LTT-TVC NETRAVATI EXP,DN,LTT,ROHA,DAILY,,,,
