train_no,train_name,direction,from_station,to_station,run_days,,,,
22656,Ernakulan jn-Hazrat Nizamuddin SF express,DN,,,5,,,,
22659,TVCN-Rishikesh SF express,UP,RN,BSR,6,,,,
22660,TVCN-Rishikesh SF express,DN,BSR,RN,2,,,,
22717,Rajkot-secundarabad SF express,UP,,,1,3,4,,
22718,Rajkot-secundarabad SF express,DN,,,2,3,7,,
22731,HYD-MUMBAI SF EXPRESS,UP,PUNE,CSMT,DAILY,,,,
22732,NZM-TVC-NZM EXP,DN,CSMT,PUNE,DAILY,,,,
22847,CSMT-HWH SF EXP,UP,IGP,LTT,1,,,,
22848,CSMT-HWH SF EXP,DN,LTT,IGP,2,,,,
22865,LTT-BBS SF EXP,DN,LTT,IGP,4,,,,
22866,LTT-BBS SF EXP,UP,IGP,LTT,3,,,,
22907,Madgaon-Hapa SF express,UP,RN,BSR,5,,,,
22908,Madgaon-Hapa SF express,DN,BSR,RN,4,,,,
22919,ADI HUMSAFAR,UP,PUNE,BSR,4,,,,
22920,ADI-MAS Humsafar express,DN,,,1,,,,
22943,DAUND INDORE EXPRESS,UP,PUNE,BSR,DAILY,,,,
22944,CSMT-PNBE HUMSAFAR EXP,DN,,,DAILY,,,,
50103,DIVA-RATNAGIRI-DIVA PASS,DN,DIVA,ROHA,DAILY,,,,
50104,DIVA-RATNAGIRI-DIVA PASS,UP,ROHA,DIVA,DAILY,,,,
61002,Dombivali-Boisar MEMU,DN,DI,BSR,DAILY,,,,
61004,DIVA-BSR-DIVA MEMU,DN,DIVA,BSR,DAILY,,,,
61003,BSR-DIVA MEMU,DN,BSR,DIVA,DAILY,,,,
61005,BSR-DIVA MEMU,DN,BSR,DIVA,DAILY,,,,
61006,DIVA-BSR-DIVA MEMU,DN,DIVA,BSR,DAILY,,,,
61007,BSR-DIVA MEMU,DN,BSR,DIVA,DAILY,,,,
61008,DIVA-BSR-DIVA MEMU,DN,DIVA,BSR,DAILY,,,,
61009,BSR-DIVA MEMU,DN,BSR,DIVA,DAILY,,,,
61010,ROHA-DIVA MEMU,UP,ROHA,DIVA,DAILY,,,,
61011,DIVA-ROHA MEMU,DN,DIVA,ROHA,DAILY,,,,
61012,ROHA-DIVA MEMU,UP,ROHA,DIVA,DAILY,,,,
61013,DIVA-ROHA MEMU,DN,DIVA,ROHA,DAILY,,,,
61015,DIVA-ROHA MEMU,DN,DIVA,ROHA,"Mon,Tue,Wed,Thu,Fri",,,,
61016,ROHA-DIVA MEMU,UP,ROHA,DIVA,"Mon,Tue,Wed,Thu,Fri",,,,
61017,DIVA-PNVL MEMU,DN,DIVA,PNVL,"Mon,Tue,Wed,Thu,Fri",,,,
61018,PNVL-DIVA MEMU,UP,PNVL,DIVA,"Mon,Tue,Wed,Thu,Fri",,,,
61019,DIVA-PEN MEMU,DN,DIVA,PEN,"Mon,Tue,Wed,Thu,Fri",,,,
61020,PEN-DIVA MEMU,UP,PEN,DIVA,"Mon,Tue,Wed,Thu,Fri",,,,
61021,BSR-DIVA MEMU,DN,BSR,DIVA,"Mon,Tue,Wed,Thu,Fri",,,,
61022,DIVA-BSR MEMU,UP,DIVA,BSR,"Mon,Tue,Wed,Thu,Fri",,,,
61023,DIVA-PEN MEMU,DN,DIVA,PEN,"Mon,Tue,Wed,Thu,Fri",,,,
61024,PEN-DIVA MEMU,UP,PEN,DIVA,"Mon,Tue,Wed,Thu,Fri",,,,
61025,DIVA-PEN MEMU,DN,DIVA,PEN,"Mon,Tue,Wed,Thu,Fri",,,,
69161,DRD-PNVL MEMU,UP,PNVL,BSR,DAILY,,,,
69164,DRD-PNVL MEMU,DN,BSR,PNVL,DAILY,,,,
69165,Panvel-Vasai road MEMU,UP,PNVL,BSR,DAILY,,,,
69166,Panvel-Vasai road MEMU,DN,BSR,PNVL,DAILY,,,,
69167,Panvel-Vasai road MEMU,UP,PNVL,BSR,DAILY,,,,
69168,Panvel-Vasai road MEMU,DN,BSR,PNVL,DAILY,,,,
