signal_number,station_code,station_name,section,line,direction,location_text,km_text,km_from_csmt,latitude,longitude,signal_type,signal_function,placement,on_curve,curve_remarks,is_rhs,is_ext_rhs,is_lhs,is_ext_lhs,has_legend_board,has_calling_on,has_shunt_signal,ri_left_arms,ri_right_arms,book_description,route_indicator_notes,technical_remarks,visibility_distance_m,sighting_remarks,is_active
L-059,,,CSMT-KYN,DN LOC,DN,,20/108,,,,Automatic,,Left,,,0,0,1,0,0,0,0,0,0,,,,,,1
L-061,,,CSMT-KYN,DN LOC,DN,,20/124,,,,Automatic,,Left,,,0,0,1,0,0,0,0,0,0,,,,,,1
L-063,,,CSMT-KYN,DN LOC,DN,,20/140,,,,Automatic,,Left,,,0,0,1,0,0,0,0,0,0,,,,,,1
L-065,,,CSMT-KYN,DN LOC,DN,,21/118,,,,Automatic,,Left,Left,,0,0,1,0,0,0,0,0,0,,,,,,1
L-067,,,CSMT-KYN,DN LOC,DN,,21/134,,,,Automatic,,Left,Left,,0,0,1,0,0,0,0,0,0,,,,,,1
VK S-1,VK,Vikhroli,CSMT-KYN,DN LOC,DN,,22/114,,,,Semi-Automatic,,Left,,,0,0,1,0,0,0,0,0,0,,,,,,1
VK S-3,VK,Vikhroli,CSMT-KYN,DN LOC,DN,PF-1 STR,22/146,,,,Semi-Automatic,,Left,Left,,0,0,1,0,0,0,0,0,0,,,,,,1
L-071,,,CSMT-KYN,DN LOC,DN,,23/122,,,,Automatic,,Left,,,0,0,1,0,0,0,0,0,0,,,,,,1
L-075,,,CSMT-KYN,DN LOC,DN,,24/112,,,,Automatic,,Left,Right,,0,0,1,0,0,0,0,0,0,,,,,,1
L-077 REP,,,CSMT-KYN,DN LOC,DN,ON PF,,,,,Repeater,,Right,Right,,1,0,0,0,0,0,0,0,0,,,,,,1
L-077,,,CSMT-KYN,DN LOC,DN,,24/140,,,,Automatic,,Left,Right,,0,0,1,0,0,0,0,0,0,,,,,,1
L-079,,,CSMT-KYN,DN LOC,DN,,25/110,,,,Automatic,,Left,Right,,0,0,1,0,0,0,0,0,0,,,,,,1
L-081,,,CSMT-KYN,DN LOC,DN,,25/130,,,,Automatic,,Left,,,0,0,1,0,0,0,0,0,0,,,,,,1
BND S-14,BND,Bhandup,CSMT-KYN,DN LOC,DN,,26/112,,,,Semi-Automatic,,Left,Left,,0,0,1,0,0,0,0,0,0,,,,,,1
BND S-16,BND,Bhandup,CSMT-KYN,DN LOC,DN,,26/130,,,,Semi-Automatic,,Left,,,0,0,1,0,0,0,0,0,0,BND LP S-28,Book shows flag marker referencing BND LP S-28,,,,1
L-083,,,CSMT-KYN,DN LOC,DN,,27/102,,,,Automatic,,Left,,,0,0,1,0,0,0,0,0,0,,,,,,1
L-085,,,CSMT-KYN,DN LOC,DN,,27/118,,,,Automatic,,Left,,,0,0,1,0,0,0,0,0,0,,,,,,1
L-087,,,CSMT-KYN,DN LOC,DN,,27/134,,,,Automatic,,Left,Left,,0,0,1,0,0,0,0,0,0,,,,,,1
L-089,,,CSMT-KYN,DN LOC,DN,PF-1 STR,28/112,,,,Automatic,,Left,Left,,0,0,1,0,0,0,0,0,0,,,,,,1
L-091,,,CSMT-KYN,DN LOC,DN,,28/128,,,,Automatic,,Left,Left,,0,0,1,0,0,0,0,0,0,,,,,,1
L-093,,,CSMT-KYN,DN LOC,DN,,29/106,,,,Automatic,,Left,,,0,0,1,0,0,0,0,0,0,,,,,,1
L-095,,,CSMT-KYN,DN LOC,DN,,29/126,,,,Automatic,,Left,Right,,0,0,1,0,0,0,0,0,0,,,,,,1
MLND S-4,MLND,Mulund,CSMT-KYN,DN LOC,DN,,29/148,,,,Semi-Automatic,,Left,Right,,0,0,1,0,0,0,0,0,0,,,,,,1
MLND S-5,MLND,Mulund,CSMT-KYN,DN LOC,DN,,30/124,,,,Semi-Automatic,,Left,Right,,0,0,1,0,0,0,0,0,0,DN TH K-059,Book shows flag marker referencing DN TH K-059; curve arrow shown before km in book,,,,1
L-097,,,CSMT-KYN,DN LOC,DN,,30/154,,,,Automatic,,Left,,,0,0,1,0,0,0,0,0,0,,,,,,1
L-099,,,CSMT-KYN,DN LOC,DN,,31/114,,,,Automatic,,Left,,,0,0,1,0,0,0,0,0,0,,,,,,1
TNA S-2,TNA,Thane,CSMT-KYN,DN LOC,DN,,31/128,,,,Semi-Automatic,,Left,,,0,0,1,0,1,0,0,0,1,RI: R1=S-21,Book shows flag marker S-21,,,,1
TNA S-21,TNA,Thane,CSMT-KYN,DN LOC,DN,,32/9A,,,,Semi-Automatic,,Left,Right,,0,0,1,0,0,0,0,1,1,RI: S-56 ; PF-3,Book shows route indicator with S-56 and PF-3; curve arrow shown before km in book,,,,1
